surface,pos,lemma,source
לשבעתכם,pronoun,שבעה,mila
לשבעתכן,pronoun,שבעה,mila
לשבעתם,pronoun,שבעה,mila
לשבעתן,pronoun,שבעה,mila
לשבעתנו,pronoun,שבעה,mila
לשנינו,pronoun,שניים,mila
לשתיהן,pronoun,שתיים,mila
לשתיכן,pronoun,שתיים,mila
לשתינו,pronoun,שתיים,mila
לתשעתכם,pronoun,תשעה,mila
לתשעתכן,pronoun,תשעה,mila
לתשעתם,pronoun,תשעה,mila
לתשעתן,pronoun,תשעה,mila
לתשעתנו,pronoun,תשעה,mila
מאותה,pronoun,אותו,mila
מאותם,pronoun,אותו,mila
מאותן,pronoun,אותו,mila
מחמשתכם,pronoun,חמישה,mila
מחמשתכן,pronoun,חמישה,mila
מחמשתן,pronoun,חמישה,mila
מחמשתנו,pronoun,חמישה,mila
מעצמה,pronoun,מעצמה,adjudicated
מעצמי,pronoun,עצמו,mila
מעצמך,pronoun,עצמו,mila
מעצמכם,pronoun,עצמו,mila
מעצמכן,pronoun,עצמו,mila
מעצמם,pronoun,עצמו,mila
מעצמן,pronoun,עצמו,mila
מעשרתכם,pronoun,עשרה,mila
מעשרתכן,pronoun,עשרה,mila
מעשרתם,pronoun,עשרה,mila
מעשרתן,pronoun,עשרה,mila
מעשרתנו,pronoun,עשרה,mila
משבעתכם,pronoun,שבעה,mila
משבעתכן,pronoun,שבעה,mila
משבעתם,pronoun,שבעה,mila
משבעתן,pronoun,שבעה,mila
משבעתנו,pronoun,שבעה,mila
משנינו,pronoun,שניים,mila
משתיהן,pronoun,שתיים,mila
משתיכן,pronoun,שתיים,mila
משתינו,pronoun,שתיים,mila
מתשעתכם,pronoun,תשעה,mila
מתשעתכן,pronoun,תשעה,mila
מתשעתם,pronoun,תשעה,mila
מתשעתן,pronoun,תשעה,mila
מתשעתנו,pronoun,תשעה,mila
עצמה,pronoun,עצמו,mila+treebank
עצמי,pronoun,עצמו,mila+treebank
עצמך,pronoun,עצמו,mila+treebank
עצמכם,pronoun,עצמו,mila+treebank
עצמכן,pronoun,עצמו,mila
עצמם,pronoun,עצמו,mila+treebank
עצמן,pronoun,עצמו,mila+treebank
עשרתכם,pronoun,עשרה,mila
עשרתכן,pronoun,עשרה,mila
עשרתם,pronoun,עשרה,mila
עשרתן,pronoun,עשרה,mila
עשרתנו,pronoun,עשרה,mila
שבעתכם,pronoun,שבעה,mila
שבעתכן,pronoun,שבעה,mila
שבעתם,pronoun,שבעה,mila
שבעתן,pronoun,שבעה,mila
שבעתנו,pronoun,שבעה,mila
שנינו,pronoun,שתיים,adjudicated
שתיהן,pronoun,שתיים,mila+treebank
שתיכן,pronoun,שתיים,mila
שתינו,pronoun,שתיים,mila
תשעתכם,pronoun,תשעה,mila
תשעתכן,pronoun,תשעה,mila
תשעתם,pronoun,תשעה,mila
תשעתן,pronoun,תשעה,mila
תשעתנו,pronoun,תשעה,mila
הכל,quantifier,כול,mila+treebank
כל,quantifier,כול,mila+treebank
בתיתה,verb,נתן,mila
בתיתו,verb,נתן,mila
בתיתם,verb,נתן,mila
בתתה,verb,נתן,mila
בתתו,verb,נתן,mila
בתתם,verb,נתן,mila
יירו,verb,ירה,adjudicated
יכו,verb,הכה,mila+treebank
להיירות,verb,נורה,mila
לתיתה,verb,נתן,mila
לתיתו,verb,נתן,mila
לתיתם,verb,נתן,mila
לתת,verb,נתן,mila+treebank
לתתה,verb,נתן,mila
לתתו,verb,נתן,mila+treebank
לתתם,verb,נתן,mila
תיירו,verb,נורה,mila
תכו,verb,הכה,mila
תכי,verb,הכה,mila
זאת,demonstrative,זה,adjudicated
זו,demonstrative,זה,adjudicated
אלה,demonstrative,זה,adjudicated
אלו,demonstrative,זה,adjudicated
הייתה,copula,היה,adjudicated
